CodDisciplina;NomeDisciplina;CodTurma;Turno;Campus;DiaAula;InicioAula;FimAula;SalaAula;FrequenciaAula;TipoAula;NomeProfessor;Por
BC0603;Ciencia Tecnologia e Sociedade;A;Diurno;Santo Andre;Quinta-feira;08:00;10:00;S-206-0;quinzenal I;Teorica;Neusa Serra;Bacharelado em Ciencia e Tecnologia
BC0603;Ciencia Tecnologia e Sociedade;A;Noturno;Santo Andre;Terca-feira;19:00;21:00;S-206-0;semanal;Teorica;Luciana Pereira;Bacharelado em Ciencia e Tecnologia
BC0603;Ciencia Tecnologia e Sociedade;A;Noturno;Santo Andre;Quinta-feira;19:00;21:00;S-206-0;quinzenal I;Teorica;Luciana Pereira;Bacharelado em Ciencia e Tecnologia
BC0603;Ciencia Tecnologia e Sociedade;B;Diurno;Santo Andre;Terca-feira;10:00;12:00;S-208-0;semanal;Teorica;Luis Roberto de Paula;Bacharelado em Ciencia e Tecnologia
BC0603;Ciencia Tecnologia e Sociedade;B;Diurno;Santo Andre;Quinta-feira;10:00;12:00;S-208-0;quinzenal I;Teorica;Luis Roberto de Paula;Bacharelado em Ciencia e Tecnologia
BC0603;Ciencia Tecnologia e Sociedade;B;Noturno;Santo Andre;Terca-feira;21:00;23:00;S-208-0;semanal;Teorica;Luciana Pereira;Bacharelado em Ciencia e Tecnologia
BC0603;Ciencia Tecnologia e Sociedade;B;Noturno;Santo Andre;Quinta-feira;21:00;23:00;S-208-0;quinzenal I;Teorica;Luciana Pereira;Bacharelado em Ciencia e Tecnologia
MC3201;Compiladores;A;Diurno;Santo Andre;Terca-feira;08:00;10:00;S-308-2;semanal;Teorica;Francisco Isidro Massetto;Bacharelado em Ciencia da Computacao
MC3201;Compiladores;A;Diurno;Santo Andre;Quinta-feira;10:00;12:00;409-2;semanal;Pratica;Francisco Isidro Massetto;Bacharelado em Ciencia da Computacao
MC3201;Compiladores;A;Noturno;Santo Andre;Terca-feira;19:00;21:00;S-308-2;semanal;Teorica;Francisco Isidro Massetto;Bacharelado em Ciencia da Computacao
MC3201;Compiladores;A;Noturno;Santo Andre;Quinta-feira;21:00;23:00;409-2;semanal;Pratica;Francisco Isidro Massetto;Bacharelado em Ciencia da Computacao
MC3307;Computadores Etica e Sociedade;A;Diurno;Santo Andre;Segunda-feira;10:00;12:00;S-213-0;semanal;Teorica;Francisco Javier Ropero Pelaez;Bacharelado em Ciencia e Tecnologia
MC3307;Computadores Etica e Sociedade;A;Noturno;Santo Andre;Segunda-feira;21:00;23:00;A-113-0;semanal;Teorica;Francisco Javier Ropero Pelaez;Bacharelado em Ciencia e Tecnologia
BC0506;Comunicacao e Redes;A1;Diurno;Santo Andre;Segunda-feira;10:00;12:00;A-101-0;semanal;Teorica;Lucia Regina Horta Rodrigues Franco;Bacharelado em Ciencia da Computacao
BC0506;Comunicacao e Redes;A1;Diurno;Santo Andre;Quarta-feira;08:00;10:00;A-101-0;quinzenal I;Teorica;Lucia Regina Horta Rodrigues Franco;Bacharelado em Ciencia da Computacao
BC0506;Comunicacao e Redes;A1;Noturno;Santo Andre;Segunda-feira;21:00;23:00;S-208-0;semanal;Teorica;Jesus Pascual Mena Chalco;Bacharelado em Ciencia da Computacao
BC0506;Comunicacao e Redes;A1;Noturno;Santo Andre;Quarta-feira;19:00;21:00;S-208-0;quinzenal I;Teorica;Jesus Pascual Mena Chalco;Bacharelado em Ciencia da Computacao
BC0506;Comunicacao e Redes;A2;Diurno;Santo Andre;Segunda-feira;10:00;12:00;A-102-0;semanal;Teorica;Itana Stiubiener;Bacharelado em Ciencia da Computacao
BC0506;Comunicacao e Redes;A2;Diurno;Santo Andre;Quarta-feira;08:00;10:00;A-102-0;quinzenal I;Teorica;Itana Stiubiener;Bacharelado em Ciencia da Computacao
BC0506;Comunicacao e Redes;A2;Noturno;Santo Andre;Segunda-feira;21:00;23:00;A-102-0;semanal;Teorica;Lucia Regina Horta Rodrigues Franco;Bacharelado em Ciencia da Computacao
BC0506;Comunicacao e Redes;A2;Noturno;Santo Andre;Quarta-feira;19:00;21:00;A-102-0;quinzenal I;Teorica;Lucia Regina Horta Rodrigues Franco;Bacharelado em Ciencia da Computacao
BC0506;Comunicacao e Redes;A3;Diurno;Santo Andre;Segunda-feira;10:00;12:00;A-103-0;semanal;Teorica;Fabricio Olivetti de Franca;Bacharelado em Ciencia da Computacao
BC0506;Comunicacao e Redes;A3;Diurno;Santo Andre;Quarta-feira;08:00;10:00;A-103-0;quinzenal I;Teorica;Fabricio Olivetti de Franca;Bacharelado em Ciencia da Computacao
