BC0307; Transformacoes Quimicas; B2; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; A-104-0; semanal; Teorica; Hugo Barbosa Suffredini; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B2; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; L602; semanal; Pratica; Angela Albuquerque Teixeira Neto ; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B3; Noturno; Santo Andre; Quarta-feira; 21:00; 23:00; A-104-0; quinzenal II; Teorica; Hugo Barbosa Suffredini; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B3; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; A-104-0; semanal; Teorica; Hugo Barbosa Suffredini; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B3; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; L605; semanal; Pratica; Dalmo Mandelli; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B4; Noturno; Santo Andre; Quarta-feira; 21:00; 23:00; A-105-0; quinzenal II; Teorica; Anderson Orzari Ribeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B4; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; A-105-0; semanal; Teorica; Anderson Orzari Ribeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B4; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; L606; semanal; Pratica; Viviane Viana Silva; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B5; Noturno; Santo Andre; Quarta-feira; 21:00; 23:00; A-105-0; quinzenal II; Teorica; Anderson Orzari Ribeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B5; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; A-105-0; semanal; Teorica; Anderson Orzari Ribeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B5; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; 404-3; semanal; Pratica; Mariselma Ferreira; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B6; Noturno; Santo Andre; Quarta-feira; 21:00; 23:00; A-105-0; quinzenal II; Teorica; Anderson Orzari Ribeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B6; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; A-105-0; semanal; Teorica; Anderson Orzari Ribeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B6; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; 405-3; semanal; Pratica; Adelaide Faljoni Alario; Bacharelado em Ciencia e Tecnologia;
