BC0307; Transformacoes Quimicas; A6; Diurno; Santo Andre; Quarta-feira; 08:00; 10:00; A-102-0; quinzenal II; Teorica; Luiz Francisco Monteiro Leite Ciscato; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A6; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; A-102-0; semanal; Teorica; Luiz Francisco Monteiro Leite Ciscato; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A6; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; 405-3; semanal; Pratica; Maraisa Goncalves ; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A7; Diurno; Santo Andre; Quarta-feira; 08:00; 10:00; A-103-0; quinzenal II; Teorica; Bruno Lemos Batista; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A7; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; A-103-0; semanal; Teorica; Bruno Lemos Batista; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A7; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; 406-3; semanal; Pratica; Giselle Cerchiaro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A8; Diurno; Santo Andre; Quarta-feira; 08:00; 10:00; A-103-0; quinzenal II; Teorica; Bruno Lemos Batista; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A8; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; A-103-0; semanal; Teorica; Bruno Lemos Batista; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A8; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; 408-3; semanal; Pratica; Paulo de Avila Junior; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A9; Diurno; Santo Andre; Quarta-feira; 08:00; 10:00; A-103-0; quinzenal II; Teorica; Bruno Lemos Batista; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A9; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; A-103-0; semanal; Teorica; Bruno Lemos Batista; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A9; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; 501-1; semanal; Pratica; Gustavo Morari do Nascimento; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B1; Diurno; Santo Andre; Quarta-feira; 10:00; 12:00; A-104-0; quinzenal II; Teorica; Rodrigo Maghdissian Cordeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B1; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; A-104-0; semanal; Teorica; Rodrigo Maghdissian Cordeiro; Bacharelado em Ciencia e Tecnologia;
